Date,Open,High,Low,Close*,Adj Close**,Volume,Year,Month,Day,DayOfWeek,Daily_Return,Volatility,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Price_Momentum,Volume_MA5,Volume_MA20
2023-04-28,33797.43,34104.56,33728.4,34098.16,34098.16,354310000,2023,4,28,4,,,,,,,0.0,0.0,,,,,,
2023-04-27,33381.66,33859.75,33374.65,33826.16,33826.16,343240000,2023,4,27,3,-0.7976970018323537,,,,,,-21.698005698010093,-4.339601139602019,,,,,,
2023-04-26,33596.34,33645.83,33235.85,33301.87,33301.87,321170000,2023,4,26,2,-1.5499542366026797,,,,,,-80.27430069561524,-19.526541050804664,,,,,,
2023-04-25,33828.34,33875.49,33525.39,33530.83,33530.83,297880000,2023,4,25,1,0.6875289585839939,,,,,,-106.98798708181857,-37.01883025700745,,,,,,
2023-04-24,33805.04,33891.15,33726.09,33875.4,33875.4,252020000,2023,4,24,0,1.0276214456963917,,33726.484000000004,,,,-99.21121160569601,-49.457306526745164,,,,,313724000.0,
2023-04-21,33793.6,33858.83,33688.57,33808.96,33808.96,291080000,2023,4,21,4,-0.19613052539602105,,33668.644,,,,-97.28774122860341,-59.02339346711682,,,,-0.008481396063599989,301078000.0,
2023-04-20,33740.6,33875.39,33677.74,33786.62,33786.62,307910000,2023,4,20,3,-0.06607715824442639,,33660.736,,,,-96.45416482229484,-66.50954773815243,,,,-0.0011689177843421383,294012000.0,
2023-04-19,33889.83,33957.98,33814.65,33897.01,33897.01,251490000,2023,4,19,2,0.32672697061735256,,33779.764,,,,-85.8958452467341,-70.38680723986877,,,,0.017871068501558618,280076000.0,
2023-04-18,33965.16,34018.62,33791.89,33976.63,33976.63,253570000,2023,4,18,1,0.23488797389503713,,33868.924,,,,-70.29333452232822,-70.36811269636067,,,,0.013295227108902408,271214000.0,
2023-04-17,33930.46,33991.23,33796.91,33987.18,33987.18,234530000,2023,4,17,0,0.03105075459219897,,33891.28,,,,-56.426486125455995,-67.57978738217975,,,,0.0032997396340705976,267716000.0,
2023-04-14,33981.71,34082.94,33730.85,33886.47,33886.47,276720000,2023,4,14,4,-0.2963176115229338,,33906.782,,,,-52.95295548829745,-64.65442100340329,,,,0.0022925875270933815,264844000.0,
